County Name,Stat Name,Date,Confirmed,Deaths
Prince of Wales-Hyder,Alaska,1/22/2020,23,4
Sitka,Alaska,1/22/2020,78,8
Skagway,Alaska,1/22/2020,32,3
Southeast Fairbanks,Alaska,1/22/2020,41,2
Valdez-Cordova,Alaska,1/22/2020,32,9
Wrangell,Alaska,1/22/2020,64,4
Yakutat,Alaska,1/22/2020,31,7
Yukon-Koyukuk,Alaska,1/22/2020,23,4
Apache,Arizona,1/22/2020,41,6
Cochise,Arizona,1/22/2020,71,3
Coconino,Arizona,1/22/2020,62,76
Gila,Arizona,1/22/2020,0,3
Graham,Arizona,1/22/2020,54,6
Greenlee,Arizona,1/22/2020,123,32
La Paz,Arizona,1/22/2020,432,43
Maricopa,Arizona,1/22/2020,56,5
Mohave,Arizona,1/22/2020,54,3
Navajo,Arizona,1/22/2020,87,2
Pima,Arizona,1/22/2020,7,1
Pinal,Arizona,1/22/2020,6,4
Santa Cruz,Arizona,1/22/2020,54,5
Yavapai,Arizona,1/22/2020,0,5
Yuma,Arizona,1/22/2020,0,7
Arkansas,Arkansas,1/22/2020,32,8
Ashley,Arkansas,1/22/2020,0,9
Baxter,Arkansas,1/22/2020,34,92
Benton,Arkansas,1/22/2020,6,4
Boone,Arkansas,1/22/2020,43,5
Bradley,Arkansas,1/22/2020,56,6
Calhoun,Arkansas,1/22/2020,23,7
Carroll,Arkansas,1/22/2020,78,0
Chicot,Arkansas,1/22/2020,32,3
Clark,Arkansas,1/22/2020,41,21
Clay,Arkansas,1/22/2020,32,3
Cleburne,Arkansas,1/22/2020,64,4
Cleveland,Arkansas,1/22/2020,31,
Columbia,Arkansas,1/22/2020,23,65
Conway,Arkansas,1/22/2020,41,0
Craighead,Arkansas,1/22/2020,71,0
Crawford,Arkansas,1/22/2020,62,54
Crittenden,Arkansas,1/22/2020,0,0
Cross,Arkansas,1/22/2020,54,0
Dallas,Arkansas,1/22/2020,0,32
Desha,Arkansas,1/22/2020,0,0
Drew,Arkansas,1/22/2020,32,34
Faulkner,Arkansas,1/22/2020,0,6
Franklin,Arkansas,1/22/2020,34,6
Fulton,Arkansas,1/22/2020,6,8
Garland,Arkansas,1/22/2020,6,0
Grant,Arkansas,1/22/2020,8,8
Greene,Arkansas,1/22/2020,123,2
Hempstead,Arkansas,1/22/2020,432,45
Hot Spring,Arkansas,1/22/2020,56,21
Howard,Arkansas,1/22/2020,54,21
Independence,Arkansas,1/22/2020,87,3
Izard,Arkansas,1/22/2020,7,4
Jackson,Arkansas,1/22/2020,6,
Jefferson,Arkansas,1/22/2020,54,65
Johnson,Arkansas,1/22/2020,0,0
Lafayette,Arkansas,1/22/2020,0,0
Lawrence,Arkansas,1/22/2020,32,54
Lee,Arkansas,1/22/2020,0,0
Lincoln,Arkansas,1/22/2020,34,0
Little River,Arkansas,1/22/2020,6,32
Logan,Arkansas,1/22/2020,43,0
Lonoke,Arkansas,1/22/2020,56,34
Madison,Arkansas,1/22/2020,23,6
Marion,Arkansas,1/22/2020,78,6
Miller,Arkansas,1/22/2020,32,8
Mississippi,Arkansas,1/22/2020,41,0
Monroe,Arkansas,1/22/2020,32,8
Montgomery,Arkansas,1/22/2020,64,2
Nevada,Arkansas,1/22/2020,31,45
Newton,Arkansas,1/22/2020,23,21
Ouachita,Arkansas,1/22/2020,41,2
Perry,Arkansas,1/22/2020,71,4
Phillips,Arkansas,1/22/2020,62,5
Pike,Arkansas,1/22/2020,0,6
Poinsett,Arkansas,1/22/2020,54,3
Polk,Arkansas,1/22/2020,123,8
Pope,Arkansas,1/22/2020,432,9
Prairie,Arkansas,1/22/2020,56,1
Pulaski,Arkansas,1/22/2020,54,4
Randolph,Arkansas,1/22/2020,87,7
St. Francis,Arkansas,1/22/2020,7,8
Saline,Arkansas,1/22/2020,6,9
Scott,Arkansas,1/22/2020,54,2
Searcy,Arkansas,1/22/2020,0,6
Sebastian,Arkansas,1/22/2020,0,1
Sevier,Arkansas,1/22/2020,32,7
Sharp,Arkansas,1/22/2020,0,8
Stone,Arkansas,1/22/2020,34,2
Union,Arkansas,1/22/2020,6,5
Van Buren,Arkansas,1/22/2020,43,2
Washington,Arkansas,1/22/2020,56,6
White,Arkansas,1/22/2020,23,3
Woodruff,Arkansas,1/22/2020,78,6
Yell,Arkansas,1/22/2020,32,3
Alameda,California,1/22/2020,41,8
Alpine,California,1/22/2020,32,4
Amador,California,1/22/2020,64,8
Butte,California,1/22/2020,31,3
Calaveras,California,1/22/2020,23,2
Colusa,California,1/22/2020,41,9
Contra Costa,California,1/22/2020,71,4
Del Norte,California,1/22/2020,62,7
El Dorado,California,1/22/2020,0,4
Fresno,California,1/22/2020,54,6
Glenn,California,1/22/2020,0,3
Humboldt,California,1/22/2020,0,76
Imperial,California,1/22/2020,32,3
Inyo,California,1/22/2020,0,6
Kern,California,1/22/2020,34,32
Kings,California,1/22/2020,6,43
Lake,California,1/22/2020,6,5
Lassen,California,1/22/2020,123,3
Los Angeles,California,1/22/2020,432,2
Madera,California,1/22/2020,56,1
Marin,California,1/22/2020,54,4
Mariposa,California,1/22/2020,87,5
Mendocino,California,1/22/2020,7,5
Merced,California,1/22/2020,6,7
Modoc,California,1/22/2020,54,8
Mono,California,1/22/2020,0,9
Monterey,California,1/22/2020,0,92
Napa,California,1/22/2020,32,4
Nevada,California,1/22/2020,0,5
Orange,California,1/22/2020,34,6
Placer,California,1/22/2020,6,7
Plumas,California,1/22/2020,43,0
Riverside,California,1/22/2020,56,3
Sacramento,California,1/22/2020,23,21
San Benito,California,1/22/2020,78,3
San Bernardino,California,1/22/2020,32,4
San Diego,California,1/22/2020,41,
San Francisco,California,1/22/2020,32,65
San Joaquin,California,1/22/2020,64,0
San Luis Obispo,California,1/22/2020,31,0
San Mateo,California,1/22/2020,23,54
Santa Barbara,California,1/22/2020,41,0
Santa Clara,California,1/22/2020,71,0
Santa Cruz,California,1/22/2020,62,32
Shasta,California,1/22/2020,0,0
Sierra,California,1/22/2020,54,34
Siskiyou,California,1/22/2020,0,6
Solano,California,1/22/2020,0,6
Sonoma,California,1/22/2020,32,8
Stanislaus,California,1/22/2020,0,0
Sutter,California,1/22/2020,34,8
Tehama,California,1/22/2020,6,2
Trinity,California,1/22/2020,6,45
Tulare,California,1/22/2020,8,21
Tuolumne,California,1/22/2020,0,21
Ventura,California,1/22/2020,8,3
Yolo,California,1/22/2020,2,4
Yuba,California,1/22/2020,45,
Adams,Colorado,1/22/2020,21,65
Alamosa,Colorado,1/22/2020,2,0
Arapahoe,Colorado,1/22/2020,4,0
Archuleta,Colorado,1/22/2020,123,54
Baca,Colorado,1/22/2020,432,0
Bent,Colorado,1/22/2020,56,0
Boulder,Colorado,1/22/2020,54,32
Broomfield,Colorado,1/22/2020,87,0
Chaffee,Colorado,1/22/2020,7,34
Cheyenne,Colorado,1/22/2020,6,6
Clear Creek,Colorado,1/22/2020,54,6
Conejos,Colorado,1/22/2020,0,8
Costilla,Colorado,1/22/2020,0,0
Crowley,Colorado,1/22/2020,32,8
Custer,Colorado,1/22/2020,0,2
Delta,Colorado,1/22/2020,34,45
Denver,Colorado,1/22/2020,6,21
Dolores,Colorado,1/22/2020,43,2
Douglas,Colorado,1/22/2020,56,4
Eagle,Colorado,1/22/2020,23,5
Elbert,Colorado,1/22/2020,78,6
El Paso,Colorado,1/22/2020,32,3
Fremont,Colorado,1/22/2020,41,8
Garfield,Colorado,1/22/2020,32,9
Gilpin,Colorado,1/22/2020,64,1
Grand,Colorado,1/22/2020,31,4
Gunnison,Colorado,1/22/2020,23,7
Hinsdale,Colorado,1/22/2020,41,8
Huerfano,Colorado,1/22/2020,71,9
Jackson,Colorado,1/22/2020,62,2
Jefferson,Colorado,1/22/2020,0,6
Kiowa,Colorado,1/22/2020,54,1
Kit Carson,Colorado,1/22/2020,0,7
Lake,Colorado,1/22/2020,0,8
La Plata,Colorado,1/22/2020,32,2
Larimer,Colorado,1/22/2020,0,5
Las Animas,Colorado,1/22/2020,34,2
Lincoln,Colorado,1/22/2020,6,6
Logan,Colorado,1/22/2020,6,3
Mesa,Colorado,1/22/2020,123,6
Mineral,Colorado,1/22/2020,432,3
Moffat,Colorado,1/22/2020,56,8
Montezuma,Colorado,1/22/2020,54,4
Montrose,Colorado,1/22/2020,87,8
Morgan,Colorado,1/22/2020,7,3
Otero,Colorado,1/22/2020,6,2
Ouray,Colorado,1/22/2020,54,9
Park,Colorado,1/22/2020,0,4
Phillips,Colorado,1/22/2020,0,7
Pitkin,Colorado,1/22/2020,32,4
Prowers,Colorado,1/22/2020,0,6
Pueblo,Colorado,1/22/2020,34,3
Rio Blanco,Colorado,1/22/2020,6,76
Rio Grande,Colorado,1/22/2020,43,3
Routt,Colorado,1/22/2020,56,6
Saguache,Colorado,1/22/2020,23,32
San Juan,Colorado,1/22/2020,78,43
San Miguel,Colorado,1/22/2020,32,5
Sedgwick,Colorado,1/22/2020,41,3
Summit,Colorado,1/22/2020,32,2
Teller,Colorado,1/22/2020,64,1
Washington,Colorado,1/22/2020,31,4
Weld,Colorado,1/22/2020,23,5
Yuma,Colorado,1/22/2020,41,5
Fairfield,Connecticut,1/22/2020,71,7
Hartford,Connecticut,1/22/2020,62,8
Litchfield,Connecticut,1/22/2020,0,9
Middlesex,Connecticut,1/22/2020,54,92
New Haven,Connecticut,1/22/2020,0,4
New London,Connecticut,1/22/2020,0,5
Tolland,Connecticut,1/22/2020,32,6
Windham,Connecticut,1/22/2020,0,7
Kent,Delaware,1/22/2020,34,0
New Castle,Delaware,1/22/2020,6,3
Sussex,Delaware,1/22/2020,6,21
District of Columbia,District of Columbia,1/22/2020,8,3
Alachua,Florida,1/22/2020,0,4
Baker,Florida,1/22/2020,8,
Bay,Florida,1/22/2020,2,65
Bradford,Florida,1/22/2020,45,0
Brevard,Florida,1/22/2020,21,0
Broward,Florida,1/22/2020,2,54
Calhoun,Florida,1/22/2020,4,0
Charlotte,Florida,1/22/2020,123,0
Citrus,Florida,1/22/2020,432,32
Clay,Florida,1/22/2020,56,0
Collier,Florida,1/22/2020,54,34
Columbia,Florida,1/22/2020,87,6
DeSoto,Florida,1/22/2020,7,6
Dixie,Florida,1/22/2020,6,8
Duval,Florida,1/22/2020,54,0
Escambia,Florida,1/22/2020,0,8
Flagler,Florida,1/22/2020,0,2
Franklin,Florida,1/22/2020,32,45
Gadsden,Florida,1/22/2020,0,21
Gilchrist,Florida,1/22/2020,34,21
Glades,Florida,1/22/2020,6,3
Gulf,Florida,1/22/2020,43,4
Hamilton,Florida,1/22/2020,56,
Hardee,Florida,1/22/2020,23,65
Hendry,Florida,1/22/2020,78,0
Hernando,Florida,1/22/2020,32,0
Highlands,Florida,1/22/2020,41,54
Hillsborough,Florida,1/22/2020,32,0
Holmes,Florida,1/22/2020,64,0
Indian River,Florida,1/22/2020,31,32
Jackson,Florida,1/22/2020,23,0
Jefferson,Florida,1/22/2020,41,34
Lafayette,Florida,1/22/2020,71,6
Lake,Florida,1/22/2020,62,6
Lee,Florida,1/22/2020,0,8
Leon,Florida,1/22/2020,54,0
Levy,Florida,1/22/2020,0,8
Liberty,Florida,1/22/2020,0,2
Madison,Florida,1/22/2020,32,45
Manatee,Florida,1/22/2020,0,21
Marion,Florida,1/22/2020,34,2
Martin,Florida,1/22/2020,6,4
Miami-Dade,Florida,1/22/2020,6,5
Monroe,Florida,1/22/2020,8,6
Nassau,Florida,1/22/2020,123,3
Okaloosa,Florida,1/22/2020,432,8
Okeechobee,Florida,1/22/2020,56,9
Orange,Florida,1/22/2020,54,1
Osceola,Florida,1/22/2020,87,4
Palm Beach,Florida,1/22/2020,7,7
Pasco,Florida,1/22/2020,6,8
Pinellas,Florida,1/22/2020,54,9
Polk,Florida,1/22/2020,0,2
Putnam,Florida,1/22/2020,0,6
St. Johns,Florida,1/22/2020,32,1
St. Lucie,Florida,1/22/2020,0,7
Santa Rosa,Florida,1/22/2020,34,8
Sarasota,Florida,1/22/2020,6,2
Seminole,Florida,1/22/2020,43,5
Sumter,Florida,1/22/2020,56,2
Suwannee,Florida,1/22/2020,23,6
Taylor,Florida,1/22/2020,78,3
Union,Florida,1/22/2020,32,6
Volusia,Florida,1/22/2020,41,3
Wakulla,Florida,1/22/2020,32,8
Walton,Florida,1/22/2020,64,4
Washington,Florida,1/22/2020,31,8
Appling,Georgia,1/22/2020,23,3
Atkinson,Georgia,1/22/2020,41,2
Bacon,Georgia,1/22/2020,71,9
Baker,Georgia,1/22/2020,62,4
Baldwin,Georgia,1/22/2020,0,7
Banks,Georgia,1/22/2020,54,4
Barrow,Georgia,1/22/2020,0,6
Bartow,Georgia,1/22/2020,0,3
Ben Hill,Georgia,1/22/2020,32,76
Berrien,Georgia,1/22/2020,0,3
Bibb,Georgia,1/22/2020,34,6
Bleckley,Georgia,1/22/2020,6,32
Brantley,Georgia,1/22/2020,6,43
Brooks,Georgia,1/22/2020,8,5
Bryan,Georgia,1/22/2020,123,3
Bulloch,Georgia,1/22/2020,432,2
Burke,Georgia,1/22/2020,56,1
Butts,Georgia,1/22/2020,54,4
Calhoun,Georgia,1/22/2020,87,5
Camden,Georgia,1/22/2020,7,5
Candler,Georgia,1/22/2020,6,7
Carroll,Georgia,1/22/2020,54,8
Catoosa,Georgia,1/22/2020,0,9
Charlton,Georgia,1/22/2020,0,92
Chatham,Georgia,1/22/2020,32,4
Chattahoochee,Georgia,1/22/2020,0,5
Chattooga,Georgia,1/22/2020,34,6
Cherokee,Georgia,1/22/2020,6,7
Clarke,Georgia,1/22/2020,43,0
Clay,Georgia,1/22/2020,56,3
Clayton,Georgia,1/22/2020,23,4
Clinch,Georgia,1/22/2020,78,2
Cobb,Georgia,1/22/2020,32,6
Coffee,Georgia,1/22/2020,41,7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
